model,dataset,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,fid,sfid,precision,recall,inception
LlamaGen,ImageNet,20.793682,3.184499,0.55842,0.167186,0.228152,0.058472,2.1900201980936918,5.007601707271533,0.97766,0.99508,52.7037239074707
VQGAN,ImageNet,19.649455,3.406491,0.488608,0.175846,0.285628,0.06572,5.055368242313705,6.4892922501255725,0.92036,0.97268,46.76041412353516
