code_id,count,frequency,is_active,rank
307,5101,0.000398515625,1,1
1388,4529,0.000353828125,1,2
1085,4491,0.000350859375,1,3
10578,4275,0.000333984375,1,4
5001,4198,0.00032796875,1,5
1190,3692,0.0002884375,1,6
2246,3014,0.00023546875,1,7
7855,2868,0.0002240625,1,8
2580,2794,0.00021828125,1,9
218,2578,0.00020140625,1,10
2617,2114,0.00016515625,1,11
8308,1802,0.00014078125,1,12
6205,1736,0.000135625,1,13
13977,1599,0.000124921875,1,14
5195,1567,0.000122421875,1,15
3305,1549,0.000121015625,1,16
2300,1528,0.000119375,1,17
1509,1486,0.00011609375,1,18
2149,1439,0.000112421875,1,19
1907,1432,0.000111875,1,20
922,1393,0.000108828125,1,21
7830,1393,0.000108828125,1,22
2976,1389,0.000108515625,1,23
8854,1387,0.000108359375,1,24
1366,1375,0.000107421875,1,25
8989,1370,0.00010703125,1,26
14233,1363,0.000106484375,1,27
5602,1359,0.000106171875,1,28
10145,1350,0.00010546875,1,29
242,1345,0.000105078125,1,30
14066,1318,0.00010296875,1,31
10334,1312,0.0001025,1,32
8816,1308,0.0001021875,1,33
3896,1306,0.00010203125,1,34
5267,1297,0.000101328125,1,35
6032,1294,0.00010109375,1,36
13745,1291,0.000100859375,1,37
4133,1285,0.000100390625,1,38
6807,1283,0.000100234375,1,39
6094,1280,0.0001,1,40
14632,1275,9.9609375e-05,1,41
4559,1268,9.90625e-05,1,42
8928,1257,9.8203125e-05,1,43
8995,1254,9.796875e-05,1,44
7655,1253,9.7890625e-05,1,45
6162,1249,9.7578125e-05,1,47
6034,1249,9.7578125e-05,1,46
14428,1247,9.7421875e-05,1,48
9495,1247,9.7421875e-05,1,49
2924,1245,9.7265625e-05,1,50
13773,1244,9.71875e-05,1,51
14711,1243,9.7109375e-05,1,52
1585,1242,9.703125e-05,1,53
6957,1241,9.6953125e-05,1,54
3541,1237,9.6640625e-05,1,55
9563,1236,9.65625e-05,1,56
6013,1235,9.6484375e-05,1,57
12169,1235,9.6484375e-05,1,58
4256,1231,9.6171875e-05,1,59
7364,1227,9.5859375e-05,1,60
