model,psnr_mean,ssim_mean,lpips_mean,fid,sfid,strict_active_codes,effective_active_codes_1e-6,perplexity,top_10_mass,top_100_mass,codes_for_90pct_mass,codes_for_99pct_mass
LlamaGen,20.793682,0.55842,0.228152,2.1900201980936918,5.007601707271533,16384,16384,16179.189378227627,0.0029328125000000005,0.011967187499999999,14305,16144
VQGAN,19.649455,0.488608,0.285628,5.055368242313705,6.4892922501255725,972,971,910.4646632966759,0.021548828125,0.16476875000000002,791,946
