model,sample_id,level,sigma,token_flip_frac
vqgan,n01494475/ILSVRC2012_val_00005339,low,0.1,0.97265625
vqgan,n01494475/ILSVRC2012_val_00005339,mid,0.2,0.9921875
vqgan,n01494475/ILSVRC2012_val_00005339,high,0.5,0.99609375
vqgan,n01494475/ILSVRC2012_val_00015545,low,0.1,0.8984375
vqgan,n01494475/ILSVRC2012_val_00015545,mid,0.2,0.96875
vqgan,n01494475/ILSVRC2012_val_00015545,high,0.5,0.99609375
vqgan,n01494475/ILSVRC2012_val_00020418,low,0.1,0.74609375
vqgan,n01494475/ILSVRC2012_val_00020418,mid,0.2,0.8828125
vqgan,n01494475/ILSVRC2012_val_00020418,high,0.5,0.98828125
vqgan,n01494475/ILSVRC2012_val_00027160,low,0.1,0.80859375
vqgan,n01494475/ILSVRC2012_val_00027160,mid,0.2,0.9375
vqgan,n01494475/ILSVRC2012_val_00027160,high,0.5,0.984375
vqgan,n01494475/ILSVRC2012_val_00035367,low,0.1,0.875
vqgan,n01494475/ILSVRC2012_val_00035367,mid,0.2,0.953125
vqgan,n01494475/ILSVRC2012_val_00035367,high,0.5,0.9765625
vqgan,n01494475/ILSVRC2012_val_00045133,low,0.1,0.92578125
vqgan,n01494475/ILSVRC2012_val_00045133,mid,0.2,0.98046875
vqgan,n01494475/ILSVRC2012_val_00045133,high,0.5,1.0
vqgan,n01496331/ILSVRC2012_val_00006251,low,0.1,0.90625
vqgan,n01496331/ILSVRC2012_val_00006251,mid,0.2,0.9609375
vqgan,n01496331/ILSVRC2012_val_00006251,high,0.5,0.984375
vqgan,n01496331/ILSVRC2012_val_00009208,low,0.1,0.96875
vqgan,n01496331/ILSVRC2012_val_00009208,mid,0.2,0.9765625
vqgan,n01496331/ILSVRC2012_val_00009208,high,0.5,1.0
vqgan,n01496331/ILSVRC2012_val_00017196,low,0.1,0.72265625
vqgan,n01496331/ILSVRC2012_val_00017196,mid,0.2,0.8984375
vqgan,n01496331/ILSVRC2012_val_00017196,high,0.5,0.9609375
vqgan,n01496331/ILSVRC2012_val_00021461,low,0.1,0.890625
