model,level,sigma,psnr_x_xhat_mean,psnr_x_xhat_std,psnr_xnoisy_xhat_mean,psnr_xnoisy_xhat_std,token_flip_frac_mean,token_flip_frac_std,total_tokens,active_codes,dead_codes,active_fraction,entropy_nats,perplexity,top_10_mass,top_100_mass,top_1000_mass
llamagen,clean,0.0,20.792783942285762,3.183758735558035,,,,,12800000,16384,0,1.0,9.691481089124274,16179.189378227627,0.0029328125000000005,0.011967187499999999,0.08407703125
llamagen,low,0.1,20.31637159878253,2.7145643327053626,19.25609294886639,2.148549755125954,0.794931015625,0.09861591450281003,12800000,16381,3,0.99981689453125,9.459432787944195,12828.605843944406,0.0066359375,0.04043437500000001,0.1981128125
llamagen,mid,0.2,19.10604687011438,1.9825918597592609,16.757454706189865,1.2450923929440982,0.910304609375,0.05433406536232421,12800000,16369,15,0.99908447265625,9.248360398251247,10387.52035004179,0.011243281249999999,0.062757265625,0.26920578125000005
llamagen,high,0.5,16.215856335559824,0.9381755732543849,11.868903179382452,0.5946406959391467,0.979118203125,0.017436706464554738,12800000,16203,181,0.98895263671875,8.769361896235637,6434.065552735443,0.021609375,0.11475218749999999,0.416450390625
vqgan,clean,0.0,19.648718113841912,3.405818657658932,,,,,12800000,972,15412,0.059326171875,6.813955088196708,910.4646632966759,0.021548828125,0.16476875000000002,1.0
vqgan,low,0.1,19.22617423761388,2.923892984542309,18.35777689413229,2.410592865136382,0.75099109375,0.10340923205141102,12800000,973,15411,0.05938720703125,6.756011260892624,859.2081943480653,0.0243153125,0.20192328125,1.0
vqgan,mid,0.2,18.107597974484055,2.2668393206803925,16.11130796011927,1.5112434525366703,0.889803984375,0.05664677368035234,12800000,971,15413,0.05926513671875,6.659754483390962,780.3593224307973,0.030766171874999998,0.24853039062500001,1.0
vqgan,high,0.5,14.900372438219627,1.029635840881879,11.313662420619817,0.6796720871412676,0.974645859375,0.017442161466812992,12800000,972,15412,0.059326171875,6.327380514560742,559.688575891512,0.058156640625,0.38818195312500003,1.0
