model,run_dir,n_samples,n_metadata_shards,experiment_mode,noise_std,token_grid_hw,patch_side_tok,has_xhigh,has_masked,has_codebook,codebook_shape,metadata_keys
VQGAN,/exp/data/h1_encoder_locality/1767197584_robustness_dataset_vqgan_h1_patch_noise_encoder,50000,8,h1_patch_noise_encoder,"[0.1, 0.25, 0.5, 1.0]","[16, 16]",8,True,True,False,,"experiment_mode, has_masked_occlusion, image_id, indices_clean, indices_high, indices_low, indices_masked, indices_mid, indices_xhigh, noise_std, original_path, patch_bbox_px, patch_bbox_tok, patch_side_px, patch_side_tok, patch_top_left_px, patch_top_left_tok, token_grid_hw"
LlamaGen,/exp/data/h1_encoder_locality/1780244076_robustness_dataset_llamagen_h1_patch_noise_encoder_patch8_seed0,50000,16,h1_patch_noise_encoder,"[0.1, 0.25, 0.5, 1.0]","[16, 16]",8,True,True,False,,"experiment_mode, has_masked_occlusion, image_id, indices_clean, indices_high, indices_low, indices_masked, indices_mid, indices_xhigh, noise_std, original_path, patch_bbox_px, patch_bbox_tok, patch_side_px, patch_side_tok, patch_top_left_px, patch_top_left_tok, token_grid_hw"
