model,level,sigma,inside_response_mean,outside_response_mean,leakage_ratio_mean,boundary_response_mean,far_field_response_mean,outside_top5_mass_mean,flip_inside_mean,flip_outside_mean
VQGAN,low,0.1,0.7876053125,0.2990928125355765,0.37481265913878975,0.5973897191112311,0.1741030702713856,0.1979576927552158,0.7876053125,0.2990928125355765
VQGAN,mid,0.25,0.9520390625,0.4412341664713621,0.4623453278652193,0.8271572662258805,0.2654537167216395,0.12280082280815027,0.9520390625,0.4412341664713621
VQGAN,high,0.5,0.987679375,0.5208892705991864,0.5271695497097368,0.9165949826833986,0.33280744016931324,0.1024290465938282,0.987679375,0.5208892705991864
LlamaGen,low,0.1,0.8216734375,0.3017588542281091,0.361298186018117,0.6133787613007692,0.17847042144808248,0.19769654417342553,0.8216734375,0.3017588542281091
LlamaGen,mid,0.25,0.9604615625,0.42777052059963344,0.4442135081202876,0.8319495513425988,0.25951293063760844,0.12682640496812167,0.9604615625,0.42777052059963344
LlamaGen,high,0.5,0.9909175,0.504776458157301,0.5091830208732718,0.9220113401250394,0.3284355179013728,0.10569800364856281,0.9909175,0.504776458157301
