model,level,inside_response_mean,inside_response_std,inside_response_median,inside_response_q90,inside_response_q99,outside_response_mean,outside_response_std,outside_response_median,outside_response_q90,outside_response_q99,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,leakage_ratio_q90,leakage_ratio_q99,flip_inside_mean,flip_inside_std,flip_inside_median,flip_inside_q90,flip_inside_q99,flip_outside_mean,flip_outside_std,flip_outside_median,flip_outside_q90,flip_outside_q99,flip_leakage_ratio_mean,flip_leakage_ratio_std,flip_leakage_ratio_median,flip_leakage_ratio_q90,flip_leakage_ratio_q99
VQGAN,masked,0.997606875,0.016551455739885087,1.0,1.0,1.0,0.5627603123277426,0.075842741243522,0.5625,0.6614583134651184,0.734375,0.5639805796325207,0.07499117916789318,0.5625,0.6614583134651184,0.734375,0.997606875,0.016551455739885087,1.0,1.0,1.0,0.5627603123277426,0.075842741243522,0.5625,0.6614583134651184,0.734375,0.5639805796325207,0.07499117916789318,0.5625,0.6614583134651184,0.734375
LlamaGen,masked,0.999504375,0.010827954111205632,1.0,1.0,1.0,0.49457958297804,0.06674165337117642,0.4947916567325592,0.578125,0.65625,0.494775383413434,0.06644524077773804,0.4947916567325592,0.578125,0.65625,0.999504375,0.010827954111205632,1.0,1.0,1.0,0.49457958297804,0.06674165337117642,0.4947916567325592,0.578125,0.65625,0.494775383413434,0.06644524077773804,0.4947916567325592,0.578125,0.65625
