model,level,sigma,inside_response_mean,inside_response_std,inside_response_median,inside_response_q90,inside_response_q99,outside_response_mean,outside_response_std,outside_response_median,outside_response_q90,outside_response_q99,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,leakage_ratio_q90,leakage_ratio_q99,flip_inside_mean,flip_inside_std,flip_inside_median,flip_inside_q90,flip_inside_q99,flip_outside_mean,flip_outside_std,flip_outside_median,flip_outside_q90,flip_outside_q99,flip_leakage_ratio_mean,flip_leakage_ratio_std,flip_leakage_ratio_median,flip_leakage_ratio_q90,flip_leakage_ratio_q99
VQGAN,low,0.1,0.7876053125,0.12916005560530253,0.8125,0.9375,0.984375,0.2990928125355765,0.09826743706318022,0.2916666567325592,0.4322916567325592,0.5416666865348816,0.37481265913878975,0.0904453962846271,0.3714285646367348,0.49404760204809506,0.5999999930181819,0.7876053125,0.12916005560530253,0.8125,0.9375,0.984375,0.2990928125355765,0.09826743706318022,0.2916666567325592,0.4322916567325592,0.5416666865348816,0.37481265913878975,0.0904453962846271,0.3714285646367348,0.49404760204809506,0.5999999930181819
VQGAN,mid,0.25,0.9520390625,0.04451351003553408,0.96875,1.0,1.0,0.4412341664713621,0.08461343095108383,0.4375,0.5520833134651184,0.6458333134651184,0.4623453278652193,0.08054034174487211,0.459067945966939,0.5677083077880354,0.6562499934375001,0.9520390625,0.04451351003553408,0.96875,1.0,1.0,0.4412341664713621,0.08461343095108383,0.4375,0.5520833134651184,0.6458333134651184,0.4623453278652193,0.08054034174487211,0.459067945966939,0.5677083077880354,0.6562499934375001
VQGAN,high,0.5,0.987679375,0.016555395068054854,1.0,1.0,1.0,0.5208892705991864,0.07946208330289305,0.5208333134651184,0.625,0.7083333134651184,0.5271695497097368,0.07859512291938893,0.5245901584305295,0.6302083071630353,0.7142857070294785,0.987679375,0.016555395068054854,1.0,1.0,1.0,0.5208892705991864,0.07946208330289305,0.5208333134651184,0.625,0.7083333134651184,0.5271695497097368,0.07859512291938893,0.5245901584305295,0.6302083071630353,0.7142857070294785
LlamaGen,low,0.1,0.8216734375,0.12144428457268416,0.84375,0.953125,1.0,0.3017588542281091,0.10131935884076837,0.296875,0.4375,0.5520833134651184,0.361298186018117,0.09157522576499322,0.3567251533475809,0.48148148668203267,0.5978876819212556,0.8216734375,0.12144428457268416,0.84375,0.953125,1.0,0.3017588542281091,0.10131935884076837,0.296875,0.4375,0.5520833134651184,0.361298186018117,0.09157522576499322,0.3567251533475809,0.48148148668203267,0.5978876819212556
LlamaGen,mid,0.25,0.9604615625,0.04237974769563988,0.96875,1.0,1.0,0.42777052059963344,0.08286241466609101,0.4270833432674408,0.5364583134651184,0.6302083134651184,0.4442135081202876,0.07844794230819971,0.4425287197873346,0.5464480608531281,0.6402116135243198,0.9604615625,0.04237974769563988,0.96875,1.0,1.0,0.42777052059963344,0.08286241466609101,0.4270833432674408,0.5364583134651184,0.6302083134651184,0.4442135081202876,0.07844794230819971,0.4425287197873346,0.5464480608531281,0.6402116135243198
LlamaGen,high,0.5,0.9909175,0.014791466817898757,1.0,1.0,1.0,0.504776458157301,0.07705199324324581,0.5,0.6041666865348816,0.6927083134651184,0.5091830208732718,0.0760376987382789,0.5052083084130353,0.60937499390625,0.6979166795557148,0.9909175,0.014791466817898757,1.0,1.0,1.0,0.504776458157301,0.07705199324324581,0.5,0.6041666865348816,0.6927083134651184,0.5091830208732718,0.0760376987382789,0.5052083084130353,0.60937499390625,0.6979166795557148
